country_code,country_name,skill_group_category,skill_group_name,year,value
ar,Argentina,Specialized Industry Skills,Chemical Processing,2016,27.27
ar,Argentina,Disruptive Tech Skills,Materials Science,2016,59.47
ar,Argentina,Specialized Industry Skills,Product Testing,2016,50.21
ar,Argentina,Specialized Industry Skills,Earth Science,2016,15.84
ar,Argentina,Business Skills,Bookkeeping,2016,26.46
ar,Argentina,Specialized Industry Skills,Intellectual Property,2016,-24.52
ar,Argentina,Specialized Industry Skills,Ground Transportation,2016,-45.11
ar,Argentina,Specialized Industry Skills,Construction Engineering,2016,77.22
ar,Argentina,Specialized Industry Skills,Mining,2016,-36.75
ar,Argentina,Specialized Industry Skills,Maintenance & Repair,2016,136.19
ar,Argentina,Specialized Industry Skills,Physical Security,2016,42.51
ar,Argentina,Specialized Industry Skills,Electronic Control Systems,2016,64.95
ar,Argentina,Specialized Industry Skills,Utilities,2016,95.97
ar,Argentina,Specialized Industry Skills,Instrumentation,2016,90.17
ar,Argentina,Specialized Industry Skills,Oil & Gas,2016,112.19
ar,Argentina,Specialized Industry Skills,Drilling Engineering,2016,191.54
ar,Argentina,Specialized Industry Skills,Sociology,2017,-62.94
ar,Argentina,Business Skills,Affiliate Marketing,2017,30.55
ar,Argentina,Business Skills,Sales Leads,2017,-18.57
ar,Argentina,Specialized Industry Skills,Industrial Design,2017,-32.87
ar,Argentina,Business Skills,Revenue Analysis,2017,-115.12
ar,Argentina,Business Skills,Partner Development,2017,56.29
ar,Argentina,Disruptive Tech Skills,Artificial Intelligence (AI),2017,-89.38
ar,Argentina,Specialized Industry Skills,Apparel,2017,-48.51
ar,Argentina,Soft Skills,Problem Solving,2017,35.85
ar,Argentina,Business Skills,Economics,2017,-19.83
ar,Argentina,Tech Skills,Game Development,2017,-23.74
ar,Argentina,Specialized Industry Skills,Travel Management,2017,-49.01
ar,Argentina,Disruptive Tech Skills,Human Computer Interaction,2017,1.8
ar,Argentina,Tech Skills,Software Testing,2017,-54.14
ar,Argentina,Specialized Industry Skills,Urban Planning,2017,53.11
ar,Argentina,Tech Skills,Animation,2017,-32.36
ar,Argentina,Tech Skills,Mobile Application Development,2017,-29.77
ar,Argentina,Specialized Industry Skills,Translation,2017,-28.82
ar,Argentina,Tech Skills,Software Development Life Cycle (SDLC),2017,-34.26
ar,Argentina,Specialized Industry Skills,Photography,2017,-21.2
ar,Argentina,Tech Skills,Scientific Computing,2017,41.55
ar,Argentina,Disruptive Tech Skills,Aerospace Engineering,2017,36.19
ar,Argentina,Specialized Industry Skills,Interior Design,2017,48.3
ar,Argentina,Specialized Industry Skills,Analytical Reasoning,2017,-33.5
ar,Argentina,Specialized Industry Skills,Commercial Photography,2017,1.22
ar,Argentina,Specialized Industry Skills,Linguistics,2017,-22.42
ar,Argentina,Specialized Industry Skills,Theatre,2017,-26.74
ar,Argentina,Specialized Industry Skills,Airlines,2017,17.71
ar,Argentina,Business Skills,Digital Marketing,2017,-5.65
ar,Argentina,Specialized Industry Skills,Video,2017,-12.03
ar,Argentina,Business Skills,Advertising,2017,-8.77
ar,Argentina,Tech Skills,Information Management,2017,-38.83
ar,Argentina,Specialized Industry Skills,Hospitality Industry,2017,-47.39
ar,Argentina,Business Skills,Growth Strategies,2017,28.29
ar,Argentina,Specialized Industry Skills,Visual Arts,2017,-21.78
ar,Argentina,Specialized Industry Skills,Professional Sports,2017,-1.87
ar,Argentina,Tech Skills,Computer Graphics,2017,13.95
ar,Argentina,Soft Skills,Writing,2017,9.22
ar,Argentina,Specialized Industry Skills,Mathematics,2017,-29.12
ar,Argentina,Specialized Industry Skills,Politics,2017,-21.43
ar,Argentina,Specialized Industry Skills,Music,2017,-7.1
ar,Argentina,Disruptive Tech Skills,Development Tools,2017,9.8
ar,Argentina,Specialized Industry Skills,Retail Packaging,2017,-107.6
ar,Argentina,Specialized Industry Skills,Cosmetology,2017,0.0
ar,Argentina,Business Skills,Corporate Communications,2017,-25.56
ar,Argentina,Specialized Industry Skills,Volunteer Management,2017,-5.05
ar,Argentina,Business Skills,Sales Operations,2017,8.93
ar,Argentina,Tech Skills,Web Development,2017,-2.21
ar,Argentina,Specialized Industry Skills,Television,2017,-21.34
ar,Argentina,Specialized Industry Skills,Physiology,2017,-51.83
ar,Argentina,Soft Skills,Social Perceptiveness,2017,32.87
ar,Argentina,Disruptive Tech Skills,Data Science,2017,24.75
ar,Argentina,Business Skills,Investment Banking,2017,49.0
ar,Argentina,Business Skills,Compensation & Benefits,2017,-59.92
ar,Argentina,Soft Skills,Time Management,2017,59.52
ar,Argentina,Soft Skills,Flexible Approach,2017,108.72
ar,Argentina,Tech Skills,Graphic Design,2017,-7.46
ar,Argentina,Specialized Industry Skills,Food Service Operations,2017,-9.47
ar,Argentina,Specialized Industry Skills,Editing,2017,-14.57
ar,Argentina,Tech Skills,Data Storage Technologies,2017,12.81
ar,Argentina,Specialized Industry Skills,Literature,2017,-22.04
ar,Argentina,Business Skills,Product Development,2017,22.41
ar,Argentina,Specialized Industry Skills,Machining,2017,41.73
